Time (s),Flow (lpm)
0,0.36
0.01,0.36
0.02,0.54
0.03,0.78
0.04,1.08
0.05,1.44
0.06,1.86
0.07,2.22
0.08,2.58
0.09,2.88
0.1,3.06
0.11,3.18
0.12,3.18
0.13,3.12
0.14,2.94
0.15,2.76
0.16,2.52
0.17,2.4
0.18,2.28
0.19,2.22
0.2,2.22
0.21,2.28
0.22,2.4
0.23,2.52
0.24,2.76
0.25,2.94
0.26,3.24
0.27,3.66
0.28,4.14
0.29,4.86
0.3,5.76
0.31,6.9
0.32,8.28
0.33,9.84
0.34,11.46
0.35,13.14
0.36,14.76
0.37,16.32
0.38,17.58
0.39,18.66
0.4,19.5
0.41,20.1
0.42,20.52
0.43,20.76
0.44,20.88
0.45,21
0.46,21.12
0.47,21.24
0.48,21.36
0.49,21.42
0.5,21.54
0.51,21.66
0.52,21.72
0.53,21.84
0.54,21.96
0.55,22.14
0.56,22.44
0.57,22.8
0.58,23.34
0.59,23.94
0.6,24.66
0.61,25.38
0.62,26.04
0.63,26.64
0.64,27.18
0.65,27.54
0.66,27.72
0.67,27.84
0.68,27.84
0.69,27.84
0.7,27.78
0.71,27.78
0.72,27.84
0.73,27.9
0.74,28.02
0.75,28.2
0.76,28.38
0.77,28.56
0.78,28.68
0.79,28.8
0.8,28.86
0.81,28.86
0.82,28.92
0.83,28.98
0.84,29.04
0.85,29.1
0.86,29.22
0.87,29.34
0.88,29.52
0.89,29.64
0.9,29.76
0.91,29.82
0.92,29.94
0.93,30
0.94,30.06
0.95,30.12
0.96,30.18
0.97,30.3
0.98,30.36
0.99,30.48
1,30.6
1.01,30.72
1.02,30.84
1.03,30.96
1.04,31.02
1.05,31.08
1.06,31.2
1.07,31.26
1.08,31.32
1.09,31.44
1.1,31.5
1.11,31.62
1.12,31.74
1.13,31.86
1.14,31.98
1.15,32.04
1.16,32.16
1.17,32.22
1.18,32.28
1.19,32.4
1.2,32.46
1.21,32.58
1.22,32.64
1.23,32.76
1.24,32.88
1.25,33
1.26,33.06
1.27,33.12
1.28,33.18
1.29,33.18
1.3,33.18
1.31,33.18
1.32,33.18
1.33,33.18
1.34,33.24
1.35,33.36
1.36,33.54
1.37,33.78
1.38,34.02
1.39,34.38
1.4,34.74
1.41,35.04
1.42,35.4
1.43,35.7
1.44,35.94
1.45,36.12
1.46,36.18
1.47,36.24
1.48,36.18
1.49,36.06
1.5,35.94
1.51,35.82
1.52,35.64
1.53,35.52
1.54,35.4
1.55,35.34
1.56,35.34
1.57,35.34
1.58,35.34
1.59,35.46
1.6,35.52
1.61,35.64
1.62,35.82
