,Size,nozzle,inlet,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,InhalationProfile
0,5e-07,0.1345917832480343,0.0,0.018455411464360978,0.9815445885356391,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
1,8.3221e-07,0.1188999203929284,0.0,0.023679951209213818,0.9763200487907862,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
2,1.1644e-06,0.0980466723046181,0.0,0.026457080454262757,0.9735429195457371,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
3,1.4966e-06,0.0772238861966845,0.0,0.03002665686462077,0.9699733431353792,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
4,1.8289e-06,0.0637840814955425,2.065546680555133e-05,0.03628859237841058,0.9637114076215894,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
5,2.1611e-06,0.0531531042715101,0.0001017349194937,0.0425210657055182,0.9574789342944818,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
6,2.4933e-06,0.0402653594858659,0.0001404372279028,0.042913275329778275,0.9570025259612686,8.419870895312938e-05,PT010,large,15,trapezoid,"0,4",0,dfp,
7,2.8255e-06,0.0348646622029635,0.0001393524754971,0.051567722425592835,0.9484322775744072,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
8,3.1577e-06,0.0277457788360632,0.0002172267382182,0.05706200511015847,0.9429379948898414,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
9,3.4899e-06,0.021385481483857,0.0001960771494457,0.0647292990600312,0.9352707009399688,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
10,3.8221e-06,0.0181014619159821,0.0003319577697645,0.07437693010308365,0.9256230698969163,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
11,4.1544e-06,0.0141087761874917,0.0004858394003957,0.08495451364590562,0.9150454863540943,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
12,4.4866e-06,0.0108667529107373,0.000640362225097,0.09578090303478846,0.9042190969652115,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
