,Size,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,inlet,InhalationProfile
0,5e-07,0.026674049011368193,0.9733259509886318,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
1,8.3221e-07,0.02946310581315978,0.9705368941868402,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
2,1.1644e-06,0.03596398747680368,0.9640360125231964,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
3,1.4966e-06,0.04049796419569572,0.9595020358043043,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
4,1.8289e-06,0.045423328911441074,0.9545766710885589,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
5,2.1611e-06,0.053203057864499484,0.9467969421355006,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
6,2.4933e-06,0.06395995550611783,0.9360400444938821,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
7,2.8255e-06,0.07617229638077569,0.9238277036192243,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
8,3.1577e-06,0.08760506893460895,0.912394931065391,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
9,3.4899e-06,0.10511545545814586,0.8948845445418541,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
10,3.8221e-06,0.12678692719604462,0.8732130728039554,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
11,4.1544e-06,0.14724457144471947,0.8527554285552805,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
12,4.4866e-06,0.1790000937402102,0.8209999062597898,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
13,4.8188e-06,0.21348602481750167,0.7865139751824983,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
14,5.151e-06,0.24574093172905964,0.7542590682709402,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
15,5.4832e-06,0.296308760701192,0.703691239298808,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
16,5.8154e-06,0.34231969684312846,0.6576803031568715,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
17,6.1477e-06,0.3846883635671944,0.6152888670712727,2.2769361532835043e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
18,6.4799e-06,0.4325957845325062,0.5673816910848248,2.2524382669022517e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
19,6.8121e-06,0.48392476533901874,0.5160752346609814,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
20,7.1443e-06,0.5261954262421504,0.47380457375784957,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
21,7.4765e-06,0.5691246636044995,0.4308753363955004,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
22,7.8087e-06,0.6068968071709017,0.39310319282909845,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
23,8.1409e-06,0.6405700263408383,0.35942997365916163,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
24,8.4732e-06,0.6757796570997817,0.3242203429002184,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
25,8.8054e-06,0.7063598963889272,0.29364010361107296,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
26,9.1376e-06,0.7379256330884273,0.26207436691157276,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
27,9.4698e-06,0.7635204245356642,0.23647957546433573,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
28,9.802e-06,0.7835212985409483,0.21645611551955185,2.258593949979673e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
29,1.0134e-05,0.8035841861169485,0.19641581388305157,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,,
30,1.0466e-05,0.8230157717428851,0.17696166524994295,2.2563007171993238e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
31,1.0799e-05,0.8387523689151493,0.16117995580599584,6.767527885486184e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
32,1.1131e-05,0.8538657925186457,0.14608888752245164,4.5319958902575376e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
33,1.1463e-05,0.8654290944979772,0.13454830373757834,2.260176444441096e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
34,1.1795e-05,0.8767366917785807,0.1232405070175308,2.2801203888534864e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
35,1.2128e-05,0.8899298493474294,0.11004730029951841,2.285035305222559e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
36,1.246e-05,0.9000107291518773,0.09992029687421047,6.897397391224842e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
